timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ
162510.73530,3,-2.097,2.445,8.818
162510.75474,3,-1.152,2.114,9.402
162510.77419,3,-1.093,1.813,9.308,4,-0.790,-0.511,-0.232
162510.79363,3,-1.508,2.066,8.540,4,-0.417,-0.527,-0.308,5,-5.700,-26.944,10.294
162510.81308,3,-1.589,2.121,7.638,4,-0.135,-0.730,-0.285,5,-5.456,-26.194,11.081
162510.83253,3,-1.338,1.958,7.449,4,-0.109,-0.923,-0.156,5,-5.869,-26.719,10.969
162510.85197,3,-0.930,1.743,7.745,4,-0.210,-1.092,0.024,5,-5.363,-26.831,11.194
162510.87142,3,-0.263,1.315,7.834,4,-0.211,-1.243,0.213,5,-5.419,-26.869,11.475
162510.89086,3,0.357,0.701,7.954,4,-0.090,-1.184,0.339,5,-5.363,-27.075,11.644
162510.91031,3,0.333,1.119,8.168,4,0.030,-0.828,0.181,5,-5.231,-27.113,11.813
162510.92975,3,0.191,1.891,8.299,4,0.057,-0.440,-0.113,5,-5.213,-27.338,11.925
162510.94920,3,0.303,1.880,9.086,4,-0.153,-0.234,-0.148,5,-5.138,-27.638,12.338
162510.96864,3,-0.028,1.511,10.371,4,-0.460,-0.212,-0.116,5,-4.931,-28.050,12.338
162510.98809,3,0.150,1.376,10.706,4,-0.584,-0.450,-0.069,5,-4.650,-28.163,12.431
162511.00754,3,0.535,1.329,10.372,4,-0.621,-0.554,0.114,5,-4.556,-28.331,12.375
162511.02698,3,0.552,0.906,9.744,4,-0.610,-0.488,0.322,5,-4.219,-28.613,12.056
162511.04643,3,0.594,0.676,9.479,4,-0.538,-0.307,0.453,5,-4.050,-28.650,11.944
162511.06587,3,0.839,0.923,9.611,4,-0.404,-0.177,0.520,5,-3.938,-28.725,11.794
162511.08532,3,1.147,1.259,10.046,4,-0.350,-0.028,0.488,5,-3.769,-28.575,11.475
162511.10476,3,1.209,1.226,10.232,4,-0.433,0.084,0.325,5,-3.769,-28.763,11.025
162511.12421,3,0.571,0.971,10.009,4,-0.652,0.180,0.119,5,-3.994,-28.913,10.763
162511.14366,3,0.399,0.687,10.151,4,-0.905,0.286,0.122,5,-4.013,-29.213,10.575
162511.16310,3,0.560,0.557,10.753,4,-1.106,0.356,0.129,5,-4.294,-29.419,10.275
162511.18255,3,0.315,0.805,12.011,4,-1.159,0.329,0.007,5,-4.481,-29.325,10.238
162511.20199,3,-0.114,0.622,12.218,4,-1.062,0.168,-0.113,5,-4.763,-29.663,9.750
162511.22144,3,0.062,0.309,11.656,4,-0.908,0.011,-0.072,5,-5.025,-29.756,9.263
162511.24088,3,0.221,0.357,10.971,4,-0.711,-0.026,-0.021
162511.26033,3,0.080,0.490,10.383,4,-0.484,-0.066,-0.025,5,-5.288,-30.131,8.813
162511.27977,3,-0.001,0.356,10.239,4,-0.304,-0.074,-0.005,5,-5.175,-30.169,8.100
