timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ
162549.58772,3,-0.092,-0.251,9.992,4,-0.273,0.087,0.166,5,32.756,-1.013,4.163
162549.60717,3,-0.185,-0.506,9.976,4,-0.225,0.166,0.109,5,32.869,-1.163,3.975
162549.62661,3,-0.211,-0.570,10.003,4,-0.177,0.216,0.025,5,32.831,-1.313,3.975
162549.64606,3,-0.289,-0.539,10.129,4,-0.087,0.322,-0.067,5,33.188,-1.406,4.050
162549.66551,3,-0.408,-0.400,10.414,4,0.027,0.469,-0.132
162549.68495,3,-0.528,-0.594,10.199,4,0.186,0.473,-0.138,5,33.188,-1.856,4.163
162549.70440,3,-0.413,-0.636,9.233,4,0.367,0.441,-0.098
162549.72384,3,-0.069,-0.523,8.701,4,0.370,0.404,-0.079,5,33.338,-2.081,4.163
162549.74329,3,0.238,-0.239,8.777,4,0.214,0.278,-0.054,5,33.075,-2.100,4.331
162549.76273,3,0.800,-0.245,9.601,4,-0.106,0.099,-0.053,5,32.888,-2.119,4.500
162549.78218,3,0.977,-0.032,10.775,4,-0.383,0.002,-0.107,5,32.663,-1.988,4.819
162549.80163,3,0.845,0.657,11.594,4,-0.427,-0.114,-0.254,5,32.644,-1.950,5.194
162549.82107,3,0.658,0.901,11.832,4,-0.167,-0.197,-0.266,5,32.344,-1.875,5.325
162549.84052,3,0.327,1.612,11.356,4,0.236,-0.238,-0.218,5,32.550,-1.800,5.775
162549.85996,3,0.376,1.504,10.327,4,0.583,-0.306,-0.161,5,32.513,-1.613,5.963
162549.87941,3,0.353,1.067,9.521,4,0.810,-0.221,-0.110,5,32.344,-1.200,5.869
162549.89885,3,0.267,0.848,8.419,4,0.877,-0.177,-0.013,5,32.456,-1.013,5.869
162549.91830,3,0.596,0.884,7.552,4,0.821,-0.118,0.114,5,32.700,-1.069,5.681
162549.93775,3,1.083,1.007,7.027,4,0.625,-0.095,0.178,5,32.888,-1.106,5.363
162549.95719,3,1.247,1.320,6.991,4,0.325,-0.084,0.089,5,32.756,-1.144,5.288
162549.97664,3,0.948,1.695,7.306,4,-0.032,-0.067,-0.205,5,32.756,-0.919,5.288
162549.99608,3,0.354,1.730,8.574,4,-0.374,0.015,-0.586,5,32.606,-0.675,4.950
162550.01553,3,-0.630,1.827,9.998,4,-0.637,0.044,-0.860,5,32.513,-0.544,4.669
162550.03497,3,-1.638,1.969,11.665,4,-0.706,0.010,-0.817,5,32.738,-0.656,4.650
162550.05442,3,-1.770,2.463,12.529,4,-0.489,-0.039,-0.514,5,32.719,-0.413,4.669
162550.07387,3,-1.519,2.341,12.400,4,-0.105,-0.292,-0.181,5,32.681,-0.056,4.669
162550.09331,3,-1.077,1.658,11.579,4,0.262,-0.346,0.078,5,32.531,0.056,4.556
162550.11276,3,-0.845,1.471,10.793,4,0.424,-0.354,0.205,5,32.869,0.431,4.631
162550.13220,3,-0.671,1.617,10.783,4,0.334,-0.104,0.332,5,33.188,0.525,4.538
162550.15165,3,-0.516,2.142,11.274,4,0.253,0.032,0.603,5,33.338,0.806,4.463
162550.17110,3,0.103,2.563,11.942,4,0.227,0.017,0.974,5,33.431,1.125,4.256
162550.19054,3,1.250,1.560,12.343,4,0.370,-0.118,1.393,5,33.300,0.938,4.013
162550.20999,3,2.158,-0.740,11.383,4,0.757,-0.255,1.565,5,33.244,0.394,3.713
162550.22943,3,2.096,-2.171,9.624,4,0.936,-0.150,1.355,5,33.431,-0.188,3.788
