timestamp, accel, accelX, accelY, accelZ, gyro, gyroX, gyroY, gyroZ, magno, magnoX, magnoY, magnoZ
162531.48377, 3,   0.692,  0.122,  9.452, 4,   0.218,  0.094,  0.022, 5,  30.600, -4.406,  6.094
162531.50321, 3,   0.666,  0.152,  9.563, 4,   0.179,  0.087, -0.011, 5,  30.656, -4.425,  6.300
162531.52266, 3,   0.807,  0.151,  9.795, 4,   0.095,  0.026, -0.025, 5,  30.656, -4.388,  6.394
162531.54210, 3,   1.070,  0.279, 10.103, 4,  -0.016, -0.069,  0.007, 5,  30.975, -4.294,  6.338
162531.56155, 3,   1.204,  0.175, 10.126, 4,  -0.099, -0.146,  0.073, 5,  30.919, -4.106,  6.244
162531.58100, 3,   1.191,  0.227, 10.216, 4,  -0.128, -0.102,  0.119, 5,  30.994, -4.088,  6.300
162531.60044, 3,   1.041,  0.426,  9.930, 4,  -0.025, -0.024,  0.079, 5,  30.900, -3.956,  5.813
162531.61989, 3,   0.875,  0.688,  9.678, 4,   0.064,  0.041,  0.035, 5,  30.806, -3.769,  6.019
162531.63933, 3,   0.725,  0.866,  9.503, 4,   0.084,  0.049,  0.019, 5,  30.619, -3.769,  5.888
162531.65878, 3,   0.729,  0.972,  9.499, 4,   0.055,  0.017,  0.030, 5,  30.431, -3.881,  5.625
162531.67822, 3,   0.733,  0.971,  9.416, 4,   0.025,  0.004,  0.043, 5,  30.319, -4.013,  5.700
162531.69767, 3,   0.655,  0.928,  9.406, 4,   0.003, -0.001,  0.045, 5,  30.094, -4.106,  5.663
162531.71711, 3,   0.454,  0.796,  9.454, 4,  -0.029,  0.021,  0.039, 5,  29.888, -4.256,  5.794
162531.73656, 3,   0.316,  0.570,  9.414, 4,  -0.051,  0.029,  0.055, 5,  29.925, -4.444,  5.906
162531.75601, 3,   0.231,  0.336,  9.143, 4,  -0.044,  0.016,  0.106, 5,  30.188, -4.463,  6.506
162531.77545, 3,   0.103,  0.274,  9.149, 4,   0.005,  0.021,  0.181
162531.79490, 3,  -0.176,  0.414,  9.331, 4,   0.066,  0.029,  0.244, 5,  30.319, -4.688,  6.300
162531.81434, 3,  -0.401,  0.488,  9.479, 4,   0.146,  0.027,  0.319, 5,  30.300, -4.725,  6.319
162531.83379, 3,  -0.706,  0.325,  9.142, 4,   0.274, -0.029,  0.386, 5,  30.638, -4.556,  6.450
162531.85323, 3,  -1.221,  0.469,  9.090, 4,   0.401, -0.031,  0.371, 5,  30.619, -4.725,  6.356
162531.87268, 3,  -1.385,  1.158,  9.200, 4,   0.357,  0.002,  0.320, 5,  30.694, -4.838,  6.525
162531.89213, 3,  -0.760,  2.110,  9.651, 4,  -0.043,  0.109,  0.307, 5,  30.881, -5.006,  6.263
162531.91157, 3,   0.162,  2.467, 11.346, 4,  -0.627,  0.390,  0.343, 5,  31.031, -4.913,  6.450
162531.93102, 3,   0.515,  2.376, 12.407, 4,  -0.687,  0.474,  0.349, 5,  30.956, -5.081,  6.375
162531.95046, 3,   0.547,  2.191, 12.431, 4,  -0.319,  0.339,  0.212, 5,  30.488, -5.306,  6.694
162531.96991, 3,   0.420,  1.730, 11.027, 4,   0.261,  0.159,  0.010, 5,  30.431, -5.456,  6.806
162531.98935, 3,   0.579,  1.530,  8.925, 4,   0.732,  0.006, -0.189, 5,  30.075, -5.906,  6.881
162532.00880, 3,   1.000,  1.432,  7.447, 4,   0.835, -0.070, -0.352, 5,  30.113, -5.738,  7.163
162532.02825, 3,   0.863,  1.363,  6.707, 4,   0.638, -0.060, -0.501, 5,  30.113, -5.888,  7.406
162532.04769, 3,   0.356,  1.392,  6.646, 4,   0.288,  0.067, -0.633, 5,  29.925, -5.775,  7.669
162532.06714, 3,   0.010,  1.472,  7.563, 4,  -0.017,  0.252, -0.658, 5,  29.700, -5.738,  7.706
162532.08658, 3,  -0.334,  2.051,  8.241, 4,  -0.095,  0.328, -0.625, 5,  29.531, -5.456,  7.594
162532.10603, 3,  -0.640,  2.988,  8.524, 4,  -0.102,  0.201, -0.584, 5,  29.963, -4.950,  7.519
162532.12547, 3,  -0.952,  3.481,  9.126, 4,  -0.192,  0.175, -0.485, 5,  29.869, -4.688,  7.556
162532.14492, 3,  -1.059,  3.470,  9.812, 4,  -0.211,  0.124, -0.403, 5,  29.850, -4.106,  7.725
162532.16436, 3,  -1.190,  3.164, 10.260, 4,  -0.052,  0.008, -0.356, 5,  29.813, -3.694,  7.763
162532.18381, 3,  -1.294,  2.825, 10.013, 4,   0.253, -0.135, -0.334, 5,  29.869, -3.075,  7.838
162532.20326, 3,  -1.571,  2.830,  9.466, 4,   0.497, -0.254, -0.380, 5,  30.131, -2.775,  7.988
162532.22270, 3,  -2.069,  2.868,  9.389, 4,   0.484, -0.260, -0.514, 5,  30.281, -2.400,  8.081
162532.24215, 3,  -2.054,  2.727, 10.086, 4,   0.244, -0.246, -0.591, 5,  30.450, -2.025,  8.250
162532.26159, 3,  -1.658,  2.665, 11.637, 4,  -0.027, -0.188, -0.550, 5,  30.431, -1.763,  8.175
162532.28104, 3,  -1.190,  2.982, 13.056, 4,  -0.215, -0.166, -0.425, 5,  30.694, -1.294,  8.344
162532.30048, 3,  -0.296,  3.581, 14.139, 4,  -0.255, -0.222, -0.178, 5,  30.769, -1.050,  8.175
162532.31993, 3,   0.529,  3.887, 14.254, 4,   0.177, -0.260, -0.207, 5,  31.031, -0.900,  7.913
162532.33938, 3,   0.297,  1.969, 13.348, 4,   0.951, -0.125, -0.800, 5,  30.975, -0.488,  7.669
162532.35882, 3,  -1.240,  0.529, 11.176, 4,   1.395, -0.064, -1.317, 5,  30.900, -0.094,  7.406
162532.37827, 3,  -1.828, -1.815, 10.443, 4,   1.456,  0.254, -1.222, 5,  31.031,  0.338,  7.275
